Filename,Normalized integer,Normalized floating,Normalized control,Cycles,Normalized time avg,Ratio Memory,Ratio branches,Ratio call,Phase
../blacksholes\small\config-8-100\2-blackscholes-small-8core-100cache-x86__1-1-169,150.661446,0.655854,36.841638,28902761,1.354003906,0.423670076,8.333353094,0.043371362,1
../blacksholes\small\config-8-100\2-blackscholes-small-8core-100cache-x86__1-1-17,16.746648,0.072906,4.096098,3304267,0.385742188,0.423813585,8.396487413,0.043579524,1
../blacksholes\small\config-8-100\2-blackscholes-small-8core-100cache-x86__1-1-170,151.540992,0.659634,37.05657,29070698,1.360595703,0.42366854,8.333283464,0.043373847,1
../blacksholes\small\config-8-100\2-blackscholes-small-8core-100cache-x86__1-1-171,152.419962,0.66342,37.271418,29238475,1.3671875,0.423663082,8.333081422,0.043377529,1
../blacksholes\small\config-8-100\2-blackscholes-small-8core-100cache-x86__1-1-172,153.302448,0.66726,37.48701,29406062,1.373046875,0.423659062,8.332927522,0.043379026,1
../blacksholes\small\config-8-100\2-blackscholes-small-8core-100cache-x86__1-1-173,154.181616,0.67104,37.701918,29574186,1.378662109,0.423656286,8.332744682,0.043380499,1
../blacksholes\small\config-8-100\2-blackscholes-small-8core-100cache-x86__1-1-174,155.053614,0.674826,37.91511,29740405,1.385742188,0.423653434,8.332637726,0.043383284,1
../blacksholes\small\config-8-100\2-blackscholes-small-8core-100cache-x86__1-1-175,155.930286,0.678558,38.129556,29907407,1.391113281,0.423649501,8.332414032,0.043385084,1
../blacksholes\small\config-8-100\2-blackscholes-small-8core-100cache-x86__1-1-176,156.820146,0.682464,38.347026,30077545,1.397705078,0.423654279,8.332547246,0.043383912,1
../blacksholes\small\config-8-100\2-blackscholes-small-8core-100cache-x86__1-1-177,157.71297,0.686424,38.565786,30247888,1.403808594,0.423658531,8.332787873,0.043381302,1
../blacksholes\small\config-8-100\2-blackscholes-small-8core-100cache-x86__1-1-178,158.608476,0.69036,38.78505,30418923,1.410888672,0.423663189,8.332971902,0.043379395,1
../blacksholes\small\config-8-100\2-blackscholes-small-8core-100cache-x86__1-1-179,159.501414,0.69429,39.003558,30590232,1.417724609,0.42366585,8.333173966,0.043376197,1
../blacksholes\small\config-8-100\2-blackscholes-small-8core-100cache-x86__1-1-18,17.630322,0.076752,4.311696,3472946,0.393066406,0.423839113,8.39576115,0.043574037,1
../blacksholes\small\config-8-100\2-blackscholes-small-8core-100cache-x86__1-1-180,160.397736,0.698226,39.22281,30761993,1.424316406,0.423671959,8.3334842,0.043375424,1
../blacksholes\small\config-8-100\2-blackscholes-small-8core-100cache-x86__1-1-181,161.284584,0.702072,39.439338,30931192,1.431640625,0.423673398,8.333888548,0.043379024,1
../blacksholes\small\config-8-100\2-blackscholes-small-8core-100cache-x86__1-1-182,162.17829,0.705978,39.65742,31101808,1.437744141,0.423676223,8.334166543,0.04338255,1
../blacksholes\small\config-8-100\2-blackscholes-small-8core-100cache-x86__1-1-183,163.06722,0.709854,39.874674,31271212,1.443115234,0.42367869,8.334562345,0.043384982,1
../blacksholes\small\config-8-100\2-blackscholes-small-8core-100cache-x86__1-1-184,163.95066,0.71373,40.091106,31440348,1.450439453,0.423679331,8.334488645,0.043381692,1
../blacksholes\small\config-8-100\2-blackscholes-small-8core-100cache-x86__1-1-185,164.838654,0.717636,40.308468,31610493,1.455322266,0.423681584,8.334358739,0.043378776,1
../blacksholes\small\config-8-100\2-blackscholes-small-8core-100cache-x86__1-1-186,165.721062,0.721512,40.524462,31779003,1.464355469,0.42368412,8.334340834,0.043376171,1
../blacksholes\small\config-8-100\2-blackscholes-small-8core-100cache-x86__1-1-187,166.603146,0.725358,40.73997,31948141,1.469482422,0.423684656,8.33441708,0.043377941,1
../blacksholes\small\config-8-100\2-blackscholes-small-8core-100cache-x86__1-1-188,167.483994,0.729174,40.95498,32116399,1.476074219,0.423684427,8.334468376,0.043379779,1
../blacksholes\small\config-8-100\2-blackscholes-small-8core-100cache-x86__1-1-189,168.360294,0.732996,41.169,32284137,1.481933594,0.423684094,8.334523248,0.043383954,1
../blacksholes\small\config-8-100\2-blackscholes-small-8core-100cache-x86__1-1-19,18.513498,0.080628,4.527984,3642699,0.399658203,0.42384909,8.391390918,0.043535931,1
../blacksholes\small\config-8-100\2-blackscholes-small-8core-100cache-x86__1-1-190,169.242114,0.736842,41.3844,32453292,1.488037109,0.423687598,8.334800397,0.043383014,1
../blacksholes\small\config-8-100\2-blackscholes-small-8core-100cache-x86__1-1-191,170.127582,0.740724,41.600598,32622699,1.494384766,0.423691584,8.335014958,0.043380963,1
../blacksholes\small\config-8-100\2-blackscholes-small-8core-100cache-x86__1-1-192,171.010932,0.744624,41.816412,32792365,1.500976563,0.423695864,8.33521661,0.043379045,1
../blacksholes\small\config-8-100\2-blackscholes-small-8core-100cache-x86__1-1-193,171.894372,0.74847,42.031776,32961988,1.508056641,0.423700259,8.335627273,0.043379609,1
../blacksholes\small\config-8-100\2-blackscholes-small-8core-100cache-x86__1-1-194,172.77261,0.752292,42.24588,33129781,1.515136719,0.42370152,8.335903885,0.043382313,1
../blacksholes\small\config-8-100\2-blackscholes-small-8core-100cache-x86__1-1-195,173.649762,0.756108,42.459858,33298140,1.520019531,0.423703286,8.336223922,0.04338413,1
../blacksholes\small\config-8-100\2-blackscholes-small-8core-100cache-x86__1-1-196,174.528498,0.759924,42.67413,33465857,1.526855469,0.423707198,8.336494789,0.04338577,1
../blacksholes\small\config-8-100\2-blackscholes-small-8core-100cache-x86__1-1-197,175.411662,0.7638,42.89052,33635022,1.532470703,0.423707905,8.33633381,0.043382594,1
../blacksholes\small\config-8-100\2-blackscholes-small-8core-100cache-x86__1-1-198,176.298678,0.767706,43.107588,33804939,1.541015625,0.423708096,8.336187841,0.043380159,1
../blacksholes\small\config-8-100\2-blackscholes-small-8core-100cache-x86__1-1-199,177.180762,0.771552,43.323456,33973926,1.545410156,0.423711127,8.336171027,0.043377841,1
../blacksholes\small\config-8-100\2-blackscholes-small-8core-100cache-x86__1-1-2,3.483894,0.014994,0.856482,768449,0.2890625,0.422785638,8.508859579,0.043902849,1
../blacksholes\small\config-8-100\2-blackscholes-small-8core-100cache-x86__1-1-20,19.396122,0.084504,4.744158,3811899,0.405273438,0.423850806,8.388423177,0.043504875,1
../blacksholes\small\config-8-100\2-blackscholes-small-8core-100cache-x86__1-1-200,178.060194,0.775404,43.53843,34141950,1.552734375,0.423710051,8.336058772,0.043380159,1
../blacksholes\small\config-8-100\2-blackscholes-small-8core-100cache-x86__1-1-201,178.943934,0.77925,43.754088,34310873,1.55859375,0.423710026,8.336189193,0.043382049,1
../blacksholes\small\config-8-100\2-blackscholes-small-8core-100cache-x86__1-1-202,179.82075,0.783042,43.968348,34478572,1.564697266,0.423709449,8.336283175,0.043384345,1
../blacksholes\small\config-8-100\2-blackscholes-small-8core-100cache-x86__1-1-203,180.700854,0.786894,44.183844,34646882,1.571533203,0.423709723,8.336270474,0.043381875,1
../blacksholes\small\config-8-100\2-blackscholes-small-8core-100cache-x86__1-1-204,181.58616,0.790794,44.40042,34816651,1.577392578,0.423710625,8.336202296,0.043379319,1
../blacksholes\small\config-8-100\2-blackscholes-small-8core-100cache-x86__1-1-205,182.466756,0.79464,44.61618,34985521,1.583984375,0.423711553,8.336221909,0.043376506,1
../blacksholes\small\config-8-100\2-blackscholes-small-8core-100cache-x86__1-1-206,183.344322,0.798456,44.830668,35152400,1.590087891,0.423712118,8.336291413,0.043377092,1
../blacksholes\small\config-8-100\2-blackscholes-small-8core-100cache-x86__1-1-207,184.22292,0.802278,45.045186,35320594,1.597167969,0.423710297,8.336331642,0.043380307,1
